country,date,R_mean,R_low,R_high,P_R_gt_1
Spain,2021-05-10,0.9782053290394931,0.7384951990584103,1.2552431093318872,0.427
Spain,2021-05-17,0.9735227083423706,0.7414726988211157,1.2640744960132078,0.4
Spain,2021-05-24,0.9792157925555389,0.7563367602742037,1.2482100907930296,0.415
Spain,2021-05-31,1.0123588617300487,0.7639720380414815,1.2943418454434334,0.5
Spain,2021-06-07,0.9664008979523959,0.7314528598864704,1.2314428910082886,0.385
Spain,2021-06-14,1.0005781630536759,0.7608536492034886,1.2657750785302495,0.485
Spain,2021-06-21,1.0554462198416763,0.7947957027302436,1.3422541840043583,0.603
Spain,2021-06-28,1.1276015379927524,0.8574657548747101,1.4424413042445894,0.743
Spain,2021-07-05,1.1957844733899765,0.9012744254184485,1.5114529832140537,0.852
Spain,2021-07-12,1.2374269175411547,0.9363413238808469,1.6007105005332505,0.881
Spain,2021-07-19,1.1820789395867948,0.8924877253444253,1.5112874585865537,0.836
Spain,2021-07-26,1.1098133858183827,0.8431811988471272,1.4219804994788192,0.706
Spain,2021-08-02,1.0090504957521997,0.7695064835696727,1.291901214750623,0.48
Spain,2021-08-09,0.9417684346688941,0.7164979818472157,1.2132560069867717,0.323
Spain,2021-08-16,0.8770942393829556,0.6601921838608147,1.1383861393086874,0.173
Spain,2021-08-23,0.8336839721643924,0.6375666201404462,1.0587762491020107,0.104
Spain,2021-08-30,0.7967230894344995,0.6108731362885984,1.0137806664007911,0.063
Spain,2021-09-06,0.8587992831909381,0.6395929915471992,1.0872594284538917,0.153
Spain,2021-09-13,0.8441787564036602,0.6424115069978739,1.0962469607738754,0.128
Spain,2021-09-20,0.8376646395830993,0.643356618069544,1.0625029363809977,0.116
Spain,2021-09-27,0.8692741280105684,0.6681301161350299,1.1167224561311622,0.16
Spain,2021-10-04,0.8933048147107259,0.6665496956932461,1.157707285484751,0.215
Spain,2021-10-11,0.9365680262030313,0.7095518731830638,1.2079067071369742,0.298
